the_geom,t_addl,street_nam,f_addl,x,t_zip,fullname,i_strno,z,speed,y,str_nam,id,mounttype,poletype
POINT (-122.25847354450951 37.86406320781166),2599,TELEGRAPH,2551,565224.486816,94704,TELEGRAPH,2587,40.773,35,4190991.79603,TELEGRAPH AVE,317,Single Pole,SINGLE POLE
POINT (-122.28946915662651 37.86120592224938),2499,SAN PABLO,2401,562500.498006,94702,SAN PABLO,2451,-19.266,35,4190653.56884,SAN PABLO AVE,318,Pole Mast,MASTARM POLE
POINT (-122.28971818748849 37.861177366626634),2499,SAN PABLO,2401,562478.616377,94702,SAN PABLO,2448,-18.6,35,4190650.23446,SAN PABLO AVE,319,Single Pole,SINGLE POLE
POINT (-122.29777683401183 37.867846888250064),0,UNIVERSITY,0,561764.177152,94710,UNIVERSITY,824,-21.921,25,4191384.86519,UNIVERSITY AVE,320,Single Pole,SINGLE POLE
POINT (-122.29772336424061 37.867825450216365),2099,6TH,2001,561768.898074,94710,6TH,824,-22.973,35,4191382.52177,UNIVERSITY AVE,321,Pole Mast,MASTARM POLE
POINT (-122.2976487661197 37.86817838886073),1999,6TH,1901,561775.164938,94710,6TH,833,-23.673,35,4191421.73042,UNIVERSITY AVE,322,Pole Mast,MASTARM POLE
POINT (-122.29759872167968 37.8681193503166),1999,6TH,1901,561779.615548,94710,6TH,833,-21.734,35,4191415.21295,UNIVERSITY AVE,323,Single Pole,SINGLE POLE
POINT (-122.29814314214534 37.8691672014145),1999,6TH,1901,561730.85629,94710,6TH,1904,-21.809,35,4191531.11343,SIXTH ST,324,Pole Mast,MASTARM POLE
POINT (-122.29199238838022 37.869071707136285),1199,UNIVERSITY,1101,562271.924256,94702,UNIVERSITY,2001,-19.841,35,4191524.60471,SAN PABLO AVE,325,Pole Mast,MASTARM POLE
POINT (-122.2923365333996 37.86922525288103),1999,SAN PABLO,1901,562241.526302,94702,SAN PABLO,1976,-16.919,35,4191541.41067,SAN PABLO AVE,326,Single Pole,SINGLE POLE
